accident_index,accident_y,speed_limit,vehicle_type,date,day_of_week,accident_severity,road_type,longitude,latitude,number_of_vehicles,time,geometry
2019010155191,2019,30,1,01/01/2019,3,3,6,-0.124193,51.526795,2,01:50:00.000,POINT (530223.7698367334 182543.2959656457)
2019010155242,2019,30,1,01/01/2019,3,3,3,-0.336704,51.482519,2,09:41:00.000,POINT (515594.484913874 177263.0398589889)
2019010155282,2019,20,1,01/01/2019,3,2,6,-0.018574,51.522863,2,17:37:00.000,POINT (537561.8960538248 182299.1636135847)
2019010155301,2019,20,1,01/01/2019,3,3,6,-0.113933,51.3244,2,21:15:00.000,POINT (531514.8021451909 160054.8975373164)
2019010155306,2019,20,1,01/01/2019,3,3,6,-0.02853,51.569029,2,17:42:00.000,POINT (536732.8726232181 187414.2876360448)
2019010155369,2019,30,1,02/01/2019,4,3,6,-0.186896,51.496531,2,10:48:00.000,POINT (525957.6909711636 179068.1678844424)
2019010155449,2019,30,1,02/01/2019,4,3,6,-0.169303,51.42678,2,15:30:00.000,POINT (527372.7501319421 171342.0256751515)
2019010155472,2019,20,1,02/01/2019,4,2,2,-0.302311,51.411912,2,19:45:00.000,POINT (518164.5163859121 169466.0157847021)
2019010155480,2019,30,1,02/01/2019,4,3,6,-0.168525,51.478629,2,21:45:00.000,POINT (527282.664656719 177109.1444783017)
2019010155505,2019,40,1,02/01/2019,4,3,6,-0.072736,51.514953,2,18:45:00.000,POINT (533827.7929287141 181319.1941093278)
2019010155540,2019,40,1,03/01/2019,5,2,7,-0.395499,51.47538,2,06:45:00.000,POINT (511529.4484638007 176378.0398309191)
2019010155552,2019,30,1,03/01/2019,5,3,6,-0.248163,51.465106,2,12:30:00.000,POINT (521788.6050395581 175470.0103204516)
2019010155567,2019,30,1,03/01/2019,5,2,6,-0.128517,51.506783,1,10:45:00.000,POINT (529980.7450322309 180310.2091900252)
2019010155613,2019,30,1,03/01/2019,5,3,6,-0.026445,51.481539,2,17:00:00.000,POINT (537139.7897091531 177689.1016530094)
